variable,step,rmse_score,mean_score,std_score
10m_u_component_of_wind,-12,5.6742933667947115,0.8515960715991021,1.0025516617570853
10m_u_component_of_wind,-6,3.9096167848276773,0.8427420926356177,1.0030116823564104
10m_u_component_of_wind,0,4.022809098403917,2.660183422040806,0.7495476705444667
10m_u_component_of_wind,1,3.9595355208817824,-0.045463251674921296,0.7525901948714135
10m_u_component_of_wind,2,3.829473239088409,0.614915505675577,0.7826177268487962
10m_u_component_of_wind,3,3.735775524725969,-0.49493632445595664,0.7850138898827278
10m_u_component_of_wind,4,3.6533156808151737,0.3668287983318257,0.7911980853874702
10m_u_component_of_wind,5,3.524678117733554,0.4396510171874804,0.7878506669323975
10m_u_component_of_wind,6,3.319575338512323,1.1654868051812866,0.8282186676234098
10m_u_component_of_wind,7,3.0638706488397136,2.448071831088045,0.8395610661871574
10m_u_component_of_wind,8,2.7639240887736474,1.7653231230701314,0.852183485872275
10m_u_component_of_wind,9,2.5348317617064127,3.1877042976710603,0.8643701153219533
10m_u_component_of_wind,10,2.3903013794356553,0.6992616504792295,0.8792745413110107
10m_u_component_of_wind,11,2.004622245320529,2.3082672967062607,0.9067426293157856
10m_u_component_of_wind,12,1.7927291338746125,0.5999886789083039,0.9267078509229725
10m_u_component_of_wind,13,1.5371684354629422,0.8653290514789699,0.9643223837287705
10m_u_component_of_wind,14,1.3720355923735215,-0.23730321036923258,0.969211244356806
10m_u_component_of_wind,15,1.2397661526607664,0.40643838196823,0.9634039457137079
10m_u_component_of_wind,16,1.0,1.0,1.0
10m_v_component_of_wind,-12,6.362039232067107,0.9627335421632691,0.9970227941581001
10m_v_component_of_wind,-6,4.323996556777428,0.9629089787632408,0.9968152495090038
10m_v_component_of_wind,0,4.387846221515289,1.0035126080387435,0.6297693943064594
10m_v_component_of_wind,1,4.2928477183362626,1.4944099531846677,0.6373717312873116
10m_v_component_of_wind,2,4.097386711721659,1.4839473983820448,0.6408894159663481
10m_v_component_of_wind,3,4.023318190607361,1.7312617606613465,0.7028195344578854
10m_v_component_of_wind,4,3.8287382618142995,1.5743436978792709,0.6897690362459001
10m_v_component_of_wind,5,3.6712333361678122,1.5928895185340584,0.720587436484497
10m_v_component_of_wind,6,3.466862672457412,1.382702867259168,0.7384971417661833
10m_v_component_of_wind,7,3.180927036583415,1.2124322508797902,0.7959351674836366
10m_v_component_of_wind,8,2.8005374257457767,0.7360971767648511,0.7913262705008548
10m_v_component_of_wind,9,2.5258807438124737,0.8851337616809948,0.8385175353723995
10m_v_component_of_wind,10,2.3962285131771655,0.8944541532811128,0.8615737758499179
10m_v_component_of_wind,11,2.077257592326583,1.1358200719951355,0.9160156903373804
10m_v_component_of_wind,12,1.7988135438196642,1.0362272221867215,0.9608945178282199
10m_v_component_of_wind,13,1.5948825364550405,0.9659993731604134,0.977599765339744
10m_v_component_of_wind,14,1.3787545300375807,1.04342419854294,0.9763392479704446
10m_v_component_of_wind,15,1.28605674689026,0.8828515721009131,0.9400797844412041
10m_v_component_of_wind,16,1.0,1.0,1.0
2m_temperature,-12,6.158281876912252,0.9999805709931705,1.003768927558029
2m_temperature,-6,4.48254837577527,0.9999820333206001,1.0035991759494067
2m_temperature,0,2.8328255621798655,1.0013443612277244,0.9661071427580721
2m_temperature,1,2.5603234368242878,1.0008611811679005,0.9687786326573967
2m_temperature,2,2.3383208040150216,1.0005001042115382,0.9714717881718367
2m_temperature,3,2.2291948802921007,1.0004228495141534,0.9812738438173736
2m_temperature,4,2.1479028974045677,1.0004862168611866,0.9889655400409009
2m_temperature,5,2.0447703785145226,1.0001745761223888,0.9924659008650477
2m_temperature,6,1.9839582672374474,1.0003800084255308,0.9944589537811945
2m_temperature,7,1.9307419278444558,1.00047402745087,0.9949214910302268
2m_temperature,8,1.8499536080068377,1.0005139615761942,1.0014285210891254
2m_temperature,9,1.7458081235759784,1.0005073541531169,1.0004652783863488
2m_temperature,10,1.6260109757371763,1.0004998110263956,0.9974049642467162
2m_temperature,11,1.520155221494221,1.0003703390131065,1.0062239779522784
2m_temperature,12,1.3992464269212943,1.000278982492679,1.0083577867092097
2m_temperature,13,1.312720748594862,1.0002073133808163,1.0047155448956562
2m_temperature,14,1.2479762594497137,1.0001114913155764,1.004963273497536
2m_temperature,15,1.1343788343905457,0.9999752440342765,1.0013226067791374
2m_temperature,16,1.0,1.0,1.0
geopotential-level100,-12,8.763649084461838,0.9999772711391679,0.9984253576648983
geopotential-level100,-6,5.397571634930291,0.9999769150514869,0.9985057874076407
geopotential-level100,0,5.136113325316848,1.0001176461160788,0.9665703863981375
geopotential-level100,1,5.480749991053803,1.0000493124420835,0.957495402177005
geopotential-level100,2,5.598263451673962,0.9999792569762244,0.9545929642387172
geopotential-level100,3,5.399147435790477,1.0001025104211723,0.9553779523734625
geopotential-level100,4,5.381934279430854,1.0000783439055392,0.9563329298897963
geopotential-level100,5,5.346896220918451,1.0000294226440325,0.9549990838349094
geopotential-level100,6,5.377326159433911,1.0000658703156204,0.9524659297258433
geopotential-level100,7,5.163601949222448,1.000139409277437,0.9545170945652723
geopotential-level100,8,4.579105345352219,1.000098618300007,0.9571103496062553
geopotential-level100,9,4.049566907037981,1.0001552030489862,0.9649659135113986
geopotential-level100,10,3.0859843657424384,0.9999504654612917,0.9736301649530005
geopotential-level100,11,2.6866398984146778,1.0000418800790014,0.979145518878872
geopotential-level100,12,2.1336245929596247,0.9999610767520077,0.9878554641847408
geopotential-level100,13,1.754611701373647,0.999978091376213,0.9964934527607664
geopotential-level100,14,1.6468397783487416,0.9999570304121594,1.002545318143578
geopotential-level100,15,1.2537874763534924,0.9999678772393326,1.0036661095419166
geopotential-level100,16,1.0,1.0,1.0
geopotential-level1000,-12,11.927255404474172,1.002347951296398,0.9989140046513907
geopotential-level1000,-6,7.522107886545826,1.0021557150289315,0.9990565370978933
geopotential-level1000,0,7.076659134722848,1.0822223421276087,0.9374980462015402
geopotential-level1000,1,6.561318206869381,1.0699888443081151,0.9406110158161749
geopotential-level1000,2,5.777610070239541,1.0569269861831465,0.9522169261862302
geopotential-level1000,3,5.6009833402781695,1.044493808286417,0.9523791570879092
geopotential-level1000,4,5.2220647840551155,1.0358640971167412,0.9534778758003465
geopotential-level1000,5,4.907268277236861,1.03135173195198,0.955819146058913
geopotential-level1000,6,4.512145968335087,1.0283658502370718,0.9604834620339259
geopotential-level1000,7,3.7919756918221728,1.025895075770703,0.9723095375764028
geopotential-level1000,8,3.112986660359231,1.0260124916501692,0.9808912386756921
geopotential-level1000,9,2.4333924058098493,1.0079227988771338,0.9889449932406496
geopotential-level1000,10,2.1449680587572573,1.0117593203059372,0.9918118295152849
geopotential-level1000,11,1.8264298214155619,1.0124109091336237,0.9954235523883573
geopotential-level1000,12,1.5891716765374266,1.0106614165759735,0.9964147155871439
geopotential-level1000,13,1.4128928822300002,1.0053774656269605,0.996508099412637
geopotential-level1000,14,1.2966691340025738,1.0001248812151204,0.9966985272051597
geopotential-level1000,15,1.1521700072521617,1.0006067179443294,0.9989946257537243
geopotential-level1000,16,1.0,1.0,1.0
geopotential-level150,-12,10.970169318486336,1.0000005995827623,0.999661607586275
geopotential-level150,-6,6.455784303794915,1.0000005535536998,0.9996735353071008
geopotential-level150,0,6.391606758174432,1.0002574521945913,0.9862072724072556
geopotential-level150,1,6.25029144725201,1.0001202136929352,0.9847092392025174
geopotential-level150,2,6.0911277726427056,1.0000769017107005,0.987213062582234
geopotential-level150,3,5.487923238816688,1.0001466573491955,0.9830152682937362
geopotential-level150,4,5.223804755846975,1.0001090397162729,0.9848415143376166
geopotential-level150,5,5.008212393123512,1.0000358783288004,0.982287721198486
geopotential-level150,6,4.689927028078734,1.000090557159912,0.9817096113638469
geopotential-level150,7,4.313161224463122,1.0001895165114902,0.9837590312465977
geopotential-level150,8,3.632324930880714,1.0001704608009214,0.9859356168511461
geopotential-level150,9,3.221248960203232,1.0001900507056716,0.9920788115736072
geopotential-level150,10,2.5281945935385752,1.0000710697561808,0.9929158892186214
geopotential-level150,11,2.246261823091113,1.0001494574906646,0.991694779048681
geopotential-level150,12,1.9107091578251596,1.000113130438752,0.990440249862716
geopotential-level150,13,1.4475151435496993,1.00006103301065,0.9943361741307126
geopotential-level150,14,1.3064183907944338,1.0000231985671868,0.9970249261853187
geopotential-level150,15,1.2082866725077814,0.9999265117499525,1.0003436491300035
geopotential-level150,16,1.0,1.0,1.0
geopotential-level200,-12,13.518244430414244,0.9999901086808632,0.9996814316052824
geopotential-level200,-6,7.748128575629791,0.9999902735037366,0.9996421618721255
geopotential-level200,0,7.700857881977094,1.0002898373149964,0.9803750788011326
geopotential-level200,1,7.531149440914015,1.000207616842881,0.980857713020643
geopotential-level200,2,7.233670757223365,1.0000864518683314,0.9832874008042326
geopotential-level200,3,6.459454382220751,1.0001630911672623,0.9817599498938087
geopotential-level200,4,5.971024128663397,1.0001861347120655,0.9841428894118067
geopotential-level200,5,5.598262804942625,1.000091895380117,0.9855028952324978
geopotential-level200,6,4.9860774965072965,1.0000950107919897,0.9866108895700729
geopotential-level200,7,4.3577704050211326,1.0001871264766955,0.991385867621983
geopotential-level200,8,3.423043532861289,1.000162624277272,0.9934910495314629
geopotential-level200,9,2.8968877304800063,1.0001375096005007,0.9991516864486564
geopotential-level200,10,2.5084137079381748,1.0001242715798009,0.9997587262989428
geopotential-level200,11,2.251357804765878,1.0001645583504,0.9989796302183356
geopotential-level200,12,1.7126769117216563,1.0000381335516486,0.9973472069987404
geopotential-level200,13,1.314044984608528,0.9999247403278491,0.9967321404148021
geopotential-level200,14,1.3198274776514143,0.9999314538008021,0.9960905876050908
geopotential-level200,15,1.1604554061598338,0.9998890736962783,0.9994653362154456
geopotential-level200,16,1.0,1.0,1.0
geopotential-level250,-12,16.406601206785904,0.9999881093660651,0.9997796469162455
geopotential-level250,-6,9.377340717243568,0.9999883182923255,0.9997355173906984
geopotential-level250,0,9.347361500664709,1.0005201309275986,0.971533057580325
geopotential-level250,1,8.979977486010844,1.00035548383459,0.9746510349887857
geopotential-level250,2,8.572320875472776,1.0001732626480935,0.9777028566699596
geopotential-level250,3,7.538629775866283,1.0002063558391172,0.9796958501064127
geopotential-level250,4,6.9007347864717685,1.0002738315765556,0.9824448927202116
geopotential-level250,5,6.400785898560786,1.0001388431950695,0.985258183483082
geopotential-level250,6,5.588472507182689,1.0001189766150254,0.9881616393726894
geopotential-level250,7,4.701655099709908,1.000180749040428,0.9927396924555246
geopotential-level250,8,3.672110257272191,1.0001728632224782,0.9937987997721011
geopotential-level250,9,2.9845455697803787,1.000136482914397,0.9976286745217292
geopotential-level250,10,2.5845651192388654,1.000107305731178,0.9987606098610193
geopotential-level250,11,2.1741568400597924,1.0001262973236082,0.9994754600243239
geopotential-level250,12,1.6916797603392602,0.9999860929662959,0.9989914252595106
geopotential-level250,13,1.3735507784691054,0.9999102965042602,0.9963105043887237
geopotential-level250,14,1.3410042251473298,0.9998822611027901,0.9949172108494765
geopotential-level250,15,1.1445485450586863,0.9998626959531285,0.9992810719281684
geopotential-level250,16,1.0,1.0,1.0
geopotential-level300,-12,17.427321648814775,0.9999892570369077,0.9997411113432961
geopotential-level300,-6,10.045174703739223,0.9999893205725529,0.9997288091146604
geopotential-level300,0,10.028796586067227,1.0007742102853183,0.9611521928248917
geopotential-level300,1,9.510606191594285,1.0004990534848408,0.9647887633707847
geopotential-level300,2,9.04102817526244,1.000293191838608,0.9678178123585484
geopotential-level300,3,7.915282269953054,1.0002754013798374,0.9713677140474514
geopotential-level300,4,7.2524909914259545,1.0003533733634233,0.9748056741023016
geopotential-level300,5,6.663178459703538,1.000178061783139,0.9791138521596516
geopotential-level300,6,5.818692267302574,1.0001848862764735,0.9826396075403181
geopotential-level300,7,4.820898701495622,1.00020739415229,0.9862825839251657
geopotential-level300,8,3.8016166669121856,1.0001974095525694,0.9884698894780087
geopotential-level300,9,2.9835332023541836,1.00016253983977,0.9920258025003649
geopotential-level300,10,2.530313926547775,1.0000485977753462,0.9941856242189729
geopotential-level300,11,2.1054994734102626,1.0001146533887058,0.9966133153574208
geopotential-level300,12,1.661672660266672,1.0000489842489875,0.9970325381739648
geopotential-level300,13,1.3368649707861242,0.9998938878222172,0.9968525282058766
geopotential-level300,14,1.2593070848279173,0.9998752812621321,0.9959983807282999
geopotential-level300,15,1.1212096863007512,0.9998776880258373,0.9998833660839833
geopotential-level300,16,1.0,1.0,1.0
geopotential-level400,-12,16.827894651758545,1.0000113836666822,0.999874768649306
geopotential-level400,-6,9.870495795527113,1.000010907202205,0.9999605679182921
geopotential-level400,0,9.645987098082333,1.0010865267526003,0.9593067261826392
geopotential-level400,1,9.092746954694006,1.0007844105418116,0.9618583324097169
geopotential-level400,2,8.537581863631441,1.0005289651646478,0.9635847515803051
geopotential-level400,3,7.638158123125082,1.000510724625722,0.9669993010804488
geopotential-level400,4,7.023947787997029,1.0004991761289115,0.9702251299045497
geopotential-level400,5,6.418701858323391,1.0003093631606348,0.976597963353165
geopotential-level400,6,5.6537501958227185,1.000312301918372,0.9802139575170439
geopotential-level400,7,4.769932938855446,1.0004456144335123,0.9837538723139034
geopotential-level400,8,3.720459558822978,1.0003421574055502,0.9886260378844697
geopotential-level400,9,2.840641951805289,1.0002401756759816,0.9934773574179984
geopotential-level400,10,2.4641229258051194,1.0001669997299505,0.9952435040246409
geopotential-level400,11,1.9459025605706504,1.0001445088193086,0.9997694338828162
geopotential-level400,12,1.5465110520891066,1.0001155873186047,0.999158636259186
geopotential-level400,13,1.241648574050099,0.9999612725578854,0.9994662436065243
geopotential-level400,14,1.166075018248939,0.9999567883840262,0.9997834753971379
geopotential-level400,15,1.0974940934130577,0.9999376760327342,0.9995627876291973
geopotential-level400,16,1.0,1.0,1.0
geopotential-level50,-12,6.248261945650489,1.000012129845026,0.9988746622175089
geopotential-level50,-6,4.0816373509961865,1.0000115697176784,0.9989559847917293
geopotential-level50,0,5.826590549573954,0.9997876515336502,0.9614535482765969
geopotential-level50,1,5.7962621679966455,0.9999438886119375,0.9593167640399066
geopotential-level50,2,5.760578224428926,0.9998142143513565,0.9617707296594226
geopotential-level50,3,5.633635916788474,0.9999144488985449,0.9634838136606778
geopotential-level50,4,5.649741032677475,0.9999110329809802,0.9641268940167173
geopotential-level50,5,5.557691742289271,0.9998788390306607,0.9674216621978997
geopotential-level50,6,5.5755646263813645,0.9999525611340121,0.9668130023119905
geopotential-level50,7,5.542266849691714,0.9998950995866355,0.9676034991639012
geopotential-level50,8,5.29398844743397,0.999879615636756,0.9689057741353797
geopotential-level50,9,5.029464500803735,0.999879303082474,0.9747996457365804
geopotential-level50,10,3.9196997424484383,0.9997875599155052,0.9893607782940587
geopotential-level50,11,3.082757827030617,0.9998263307168077,1.0000590983881852
geopotential-level50,12,2.8850196197912155,0.9997994325208385,1.0188642581312857
geopotential-level50,13,2.780509971258727,0.9997995796683873,1.015219201125626
geopotential-level50,14,3.5120424692423664,0.999756523221582,1.0244006879436056
geopotential-level50,15,2.3675582447369803,0.9998253790373517,1.0180799718794427
geopotential-level50,16,1.0,1.0,1.0
geopotential-level500,-12,15.312970279248226,1.0000095455205678,1.000063052639088
geopotential-level500,-6,9.11606377621872,1.000008383985489,1.0002567280903225
geopotential-level500,0,9.11661265476468,1.00145484283885,0.954932376298565
geopotential-level500,1,8.456703101421976,1.0010990367270303,0.9584679124420713
geopotential-level500,2,7.732401479709254,1.0007805449049243,0.9606731927620258
geopotential-level500,3,7.162834787433442,1.0006797323434333,0.9644880472777392
geopotential-level500,4,6.672168798457099,1.0006470404852055,0.9670425619219318
geopotential-level500,5,6.179152140626914,1.0005054084317184,0.9733448973784016
geopotential-level500,6,5.494865251621748,1.0004003992592,0.9776073948323158
geopotential-level500,7,4.631827416396687,1.000547731606841,0.9813576232314394
